calendar_days,ema_count_total,recency_n_valid_days,recency_mean,baseline28_n_valid_days,baseline28_ema_count,baseline56_n_valid_days,baseline56_ema_count,historical_gate_met,state,baseline_mean,baseline_sd,deviation_z,deviation_pct,meaningful_change,uid,report_date,reason
1171,213,7.0,58169.68021907857,28.0,1.0,55.0,5.0,False,B,,,,,,2f706716305bceab3969e0f457da16b4,2021-01-08,partial history: below 28-day comparative gate
197,26,7.0,4342.566663967143,25.0,5.0,53.0,9.0,True,C,3526.3016987327997,1068.2493171572871,0.7641146613662263,23.147904943234813,False,703c70ff9f0c7a8e24757d0270a2e932,2018-05-10,
1312,173,0.0,,0.0,2.0,0.0,6.0,False,B,,,,,,bc3ae668f5930dcab54b63a9cfd0896d,2021-06-15,partial history: below 28-day comparative gate
1310,81,0.0,,0.0,0.0,0.0,0.0,False,B,,,,,,f5fa7e56d2303d8b1e3bb33d367c98c5,2021-06-15,partial history: below 28-day comparative gate
1311,202,0.0,,0.0,4.0,0.0,7.0,False,B,,,,,,e1b0f11a76278ee3f33e48e2d81b50d0,2021-06-15,partial history: below 28-day comparative gate
692,77,0.0,,0.0,4.0,0.0,7.0,False,B,,,,,,165970c3847523de7691ef9766b0f3f4,2019-09-22,partial history: below 28-day comparative gate
1079,184,7.0,18342.63808166143,10.0,5.0,10.0,7.0,False,B,,,,,,a4fcfc9e92d6861285d6c5979d2fd54b,2020-10-07,partial history: below 28-day comparative gate
952,184,3.0,0.0,0.0,1.0,5.0,4.0,False,B,,,,,,5e1d4d2718012c036ea65bfe3c80c0e7,2020-06-10,partial history: below 28-day comparative gate
1337,197,0.0,,0.0,4.0,0.0,8.0,False,B,,,,,,107c06248d28377b345ae06e5bda10c1,2021-06-15,partial history: below 28-day comparative gate
1316,279,7.0,48711.83030934715,28.0,5.0,54.0,9.0,True,C,15362.332087779894,35580.55827843892,0.9372955297830825,217.0861691506813,False,6c4cf48742a55153dd574133a73a6932,2021-06-15,
